Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
loam,5.192294089205035,bi-weekly,chemical,31.719602410244118,61.59186060848997,0
sandy,4.033132702741614,weekly,organic,28.91948412187396,52.42227609891599,1
loam,8.892768570729004,bi-weekly,none,23.179058888285397,44.66053858490323,0
loam,8.241144063085702,bi-weekly,none,18.465886401416917,46.4332272684958,0
sandy,8.374043008245923,bi-weekly,organic,18.12874085342172,63.62592280385192,0
sandy,8.627622080115675,bi-weekly,none,20.004857963291904,67.618726471884,0
loam,4.444267910404542,daily,organic,25.984533294122407,69.57895218629243,1
clay,6.150794371265635,daily,organic,29.291918454001248,69.48090713972769,0
loam,4.695214357150778,bi-weekly,none,28.203947534354626,34.560305152434516,1
loam,9.178620555253561,weekly,organic,20.598677938918858,54.72101523512907,1
loam,7.7397887609653475,daily,none,34.097305613263885,32.877938000832216,0
loam,5.985388149115895,bi-weekly,chemical,29.75793833391537,57.47644411618678,0
sandy,4.381350101716142,daily,organic,26.087081050228015,52.07652506866885,1
loam,5.865893930293973,daily,chemical,27.234414924687044,74.38520913791498,1
clay,5.951099932160482,weekly,none,23.3920012485558,47.54575062760394,1
sandy,8.377637070028385,bi-weekly,chemical,19.95461979002315,35.853350821380296,1
clay,7.8253448281312785,bi-weekly,chemical,22.119453573025233,37.149584102641796,0
clay,9.32327645545796,weekly,none,30.15692220928738,68.07553158587362,0
clay,6.8332895509716955,weekly,chemical,15.287869772595117,60.91090316581305,1
clay,4.71756547562981,bi-weekly,chemical,17.321452810138325,35.05613380613951,1
sandy,8.27946872333797,bi-weekly,none,15.920052840435055,34.20534030574987,0
sandy,8.564710291701385,weekly,chemical,15.814576046379402,65.048456572956,1
clay,7.367663185416977,daily,none,32.10921168022014,33.638150318209675,0
clay,8.625803079727365,daily,chemical,29.073157187600472,71.09300296451781,1
sandy,6.9627735781863445,weekly,none,24.483476581746505,65.31211135782482,1
sandy,7.136396976291964,daily,none,16.95668321302003,34.06743903209499,0
sandy,6.565246110151298,weekly,chemical,24.832317502336647,34.241885704259595,0
loam,4.152514760464571,daily,chemical,24.469435415611315,79.33197892505876,0
loam,4.647348561959827,daily,chemical,18.464037398200304,48.71353978780601,1
loam,4.188575114120406,bi-weekly,organic,23.67703298475946,48.53210735334454,1
clay,7.818462467582682,bi-weekly,organic,22.97009468794747,70.63997836287513,0
loam,5.88613588645796,daily,organic,27.31700196104433,77.36242886919294,0
clay,7.051424146988216,daily,none,27.701873017352874,79.30005319114355,0
clay,9.445398843556557,bi-weekly,chemical,15.90608019544089,67.66890926294708,0
loam,5.495753374893249,bi-weekly,none,22.492252292529425,48.81297927654579,1
clay,6.462297538213779,bi-weekly,organic,27.517198314284727,34.17503583493344,1
loam,8.533306831258292,weekly,chemical,25.062725171601755,68.85734579637185,0
loam,5.372788992949735,daily,none,32.12979682376644,57.92021248679025,1
sandy,4.461879458972758,bi-weekly,chemical,28.173872632378902,51.21110046234881,0
loam,5.738508717482608,daily,none,18.258688541628594,75.3177192547368,1
sandy,4.9673277235240265,weekly,chemical,16.411374948008596,35.559874115307565,1
loam,9.578185914055439,weekly,organic,27.84838556412631,54.63125521454296,1
loam,8.848722277386502,bi-weekly,organic,15.530226210832437,30.567682238370953,1
sandy,7.800422539062541,weekly,chemical,26.715511625469265,53.43303209970631,1
sandy,9.228763541126305,daily,none,33.80460482849915,32.815163784091865,0
loam,8.822032461394688,bi-weekly,organic,26.50948355751758,35.9408958134036,1
clay,5.119420353316215,daily,organic,22.763398524130437,35.87631233885524,1
sandy,9.355353990939866,daily,organic,27.865764368847064,62.460515105803175,1
clay,7.2360534514939046,weekly,chemical,24.165057809830333,67.30224396327117,0
clay,8.844640930984376,weekly,chemical,25.9123357863187,59.16843825485798,0
clay,9.376547799540958,weekly,none,33.8292961755305,78.10862742372709,0
sandy,5.908020849831184,weekly,none,22.722052756015486,48.7435289761852,1
clay,4.66031154716606,weekly,none,34.22381127647829,44.285604314093035,0
sandy,5.36761097525165,bi-weekly,chemical,33.107012839121275,73.42995640947302,0
clay,6.562646731757538,daily,chemical,18.915822695785927,41.17979192597263,0
