,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,S5_PM10,S5_CO,S7_PM10,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,S10_PM10,S10_PM25,S10_CO,S11_PM10,S12_CO,S13_PM10,S13_PM25,S13_SO2,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
0,25.78,59.82,12.86,159.93,334.79,174.86,191.1,42.08,6.73,2132.53,4.84,114.1,983.84,92.66,108.09,5.52,80.31,309.27,228.96,5.29,38.78,3201.01,157.0,240.31,101.29,70.41,5.81,85.04,39.7,44.23,122.76,227.33,104.57,107.99,6.18,108.15,237.45,129.3,1.24,168.93,72.57,8.7,232.58,592.46,359.88,3.1
1,25.78,59.82,12.86,159.93,334.79,174.86,171.0,44.11,6.94,1972.46,4.57,114.1,983.84,90.08,108.09,2.52,80.31,309.27,228.96,3.41,42.99,3908.12,157.0,358.86,94.76,74.15,5.43,85.04,39.7,44.23,122.76,227.33,104.57,107.99,6.18,108.15,237.45,129.3,1.24,168.93,72.57,8.7,232.58,592.46,359.88,3.1
2,8.58,59.39,12.96,125.96,245.34,119.38,143.5,43.53,5.5,1696.22,3.94,63.97,1449.95,91.1,103.25,5.93,67.07,219.06,151.99,2.74,33.51,5601.02,147.26,454.97,90.35,72.82,5.1,68.79,45.3,31.73,147.37,302.99,155.62,102.72,4.41,83.61,172.76,89.14,3.97,175.13,85.43,11.11,262.78,673.75,410.96,2.72
3,23.25,64.53,12.15,129.92,263.59,133.67,125.5,39.14,5.5,1304.05,3.36,64.85,1810.38,87.92,95.99,6.16,159.63,334.99,175.36,14.05,51.62,4111.79,154.42,129.38,93.79,69.63,5.29,67.06,38.21,30.38,166.26,356.46,190.2,95.37,4.27,98.43,212.22,113.78,4.13,181.77,95.19,11.17,263.56,681.37,417.82,3.55
4,25.34,57.17,10.96,150.52,324.17,173.65,112.8,35.81,4.94,1132.15,3.18,69.91,1660.51,82.45,93.67,6.46,214.21,484.93,270.72,3.05,49.07,2885.23,156.54,231.18,82.58,66.63,4.78,65.8,44.14,27.07,169.47,365.31,195.84,86.68,3.63,80.92,163.4,82.48,3.86,179.82,89.47,9.9,219.58,559.38,339.79,2.71
5,6.25,51.6,10.07,120.23,236.76,116.53,105.7,36.95,4.4,1026.48,3.06,70.04,1395.78,80.55,93.9,5.63,64.67,274.33,209.66,80.11,35.34,2300.2,155.05,551.25,63.03,62.21,4.36,63.29,43.99,22.42,104.59,194.21,89.62,63.75,3.3,54.39,96.72,42.33,3.7,168.9,83.5,9.41,187.11,466.77,279.66,2.2
115,7.53,62.1,19.51,100.47,136.94,36.47,65.3,15.6,6.2,1063.04,2.43,54.02,338.65,22.67,45.06,6.49,68.93,89.54,20.61,22.54,7.39,1894.19,48.44,181.65,29.94,6.43,5.5,93.22,39.09,32.67,208.63,370.71,162.08,57.1,7.75,76.2,113.26,37.06,10.37,73.82,34.18,19.36,168.85,337.11,168.26,6.24
116,77.74,50.78,16.38,90.07,118.25,28.18,70.3,15.54,6.12,1022.34,2.72,48.48,619.84,20.03,45.34,6.44,127.21,200.02,72.81,38.79,5.25,1778.92,45.16,216.54,42.45,6.23,5.85,93.09,40.56,29.9,219.65,411.17,191.52,52.92,7.34,167.42,338.5,171.09,4.43,360.41,48.35,18.3,280.6,650.71,370.11,4.05
117,86.57,46.81,14.85,135.21,229.25,94.04,78.0,16.52,5.94,838.01,2.44,44.46,1243.24,18.1,45.88,6.26,138.13,227.31,89.18,40.23,3.67,1457.2,96.45,196.17,52.58,6.34,7.53,93.59,33.72,29.05,285.14,586.3,301.16,71.82,9.66,226.56,504.08,277.53,5.17,293.69,75.65,18.43,344.89,844.81,499.92,3.52
118,82.19,35.64,13.03,126.09,219.0,92.91,64.7,16.81,4.92,566.27,2.38,50.0,1193.87,14.54,45.44,6.2,124.97,203.84,78.87,29.97,2.57,1416.77,80.04,88.38,73.85,6.58,6.56,110.66,35.26,26.82,298.82,623.01,324.19,120.82,15.22,204.49,460.19,255.69,4.92,276.3,95.37,13.56,154.38,307.09,152.71,2.62
119,80.65,36.79,12.05,95.11,161.02,65.91,55.7,18.19,5.14,456.41,2.56,50.6,1572.65,15.55,45.32,5.44,102.39,145.33,42.94,28.28,1.8,1400.34,55.29,77.11,82.4,6.55,7.4,104.81,32.2,21.86,180.06,357.42,177.36,125.14,7.97,128.89,256.21,127.31,3.64,171.18,69.34,13.82,221.93,519.15,297.22,3.41
120,60.62,33.39,11.67,109.83,192.5,82.67,45.2,18.93,4.26,423.17,2.36,63.32,1531.89,13.68,44.53,5.39,107.38,167.47,60.09,20.45,1.26,1507.35,54.54,75.69,85.56,6.65,6.06,93.37,27.28,19.33,138.21,255.62,117.41,116.65,7.8,205.12,458.97,253.86,4.18,188.62,102.51,12.08,188.25,425.23,236.98,2.83
121,46.97,20.87,11.35,154.79,308.85,154.06,43.1,19.14,4.49,373.67,2.14,62.58,1284.28,14.05,39.29,5.5,150.36,283.51,133.15,16.81,1.32,1339.34,57.18,81.64,72.08,6.87,5.23,95.23,27.29,17.39,129.02,233.64,104.62,116.04,5.35,98.35,163.47,65.12,4.07,153.95,95.98,10.47,160.1,348.71,188.61,2.62
122,67.11,30.53,11.51,126.68,246.72,120.04,36.4,21.93,4.09,338.77,2.32,65.31,1387.66,11.64,36.2,5.08,113.24,196.52,83.28,12.66,0.97,1318.7,59.04,104.65,41.2,7.25,3.79,91.26,31.01,11.6,151.76,286.22,134.46,80.9,5.04,146.14,300.48,154.34,3.92,146.86,101.41,10.34,142.6,303.6,160.99,2.46
123,78.45,39.72,10.2,115.31,222.23,106.92,40.9,18.84,3.8,269.44,2.68,59.31,1070.32,14.95,38.32,5.02,96.54,156.57,60.03,14.77,1.67,1383.06,80.24,106.8,26.14,7.31,4.04,90.6,29.58,12.94,133.69,257.01,123.32,71.54,5.07,192.2,430.15,237.95,3.91,131.02,74.01,10.0,124.8,259.84,135.04,2.21
