,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
0,25.78,59.82,12.86,159.93,334.79,174.86
1,25.78,59.82,12.86,159.93,334.79,174.86
2,8.58,59.39,12.96,125.96,245.34,119.38
3,23.25,64.53,12.15,129.92,263.59,133.67
4,25.34,57.17,10.96,150.52,324.17,173.65
5,6.25,51.6,10.07,120.23,236.76,116.53
6,7.53,62.1,19.51,100.47,136.94,36.47
7,77.74,50.78,16.38,90.07,118.25,28.18
8,86.57,46.81,14.85,135.21,229.25,94.04
9,82.19,35.64,13.03,126.09,219.0,92.91
10,80.65,36.79,12.05,95.11,161.02,65.91
11,60.62,33.39,11.67,109.83,192.5,82.67
12,46.97,20.87,11.35,154.79,308.85,154.06
13,67.11,30.53,11.51,126.68,246.72,120.04
14,78.45,39.72,10.2,115.31,222.23,106.92
15,71.55,37.94,10.57,102.58,191.41,88.83
16,70.92,37.5,10.63,110.03,218.84,108.81
17,86.68,42.04,10.15,88.93,166.29,77.36
18,91.52,36.96,10.23,90.17,168.32,78.15
19,85.84,44.76,10.22,70.94,118.17,47.23
20,74.87,32.13,9.13,72.0,118.78,46.78
21,64.0,19.58,8.7,106.59,210.47,103.88
22,45.97,15.47,8.93,85.87,161.79,75.92
23,48.29,34.86,10.03,56.8,91.26,34.46
24,51.96,27.4,12.59,48.92,78.81,29.89
25,45.92,28.87,13.64,68.31,114.07,45.76
26,41.79,28.13,11.61,47.7,69.66,21.96
27,50.42,33.28,11.53,48.86,71.32,22.46
28,64.06,37.64,11.96,55.99,83.71,27.72
29,67.46,29.24,10.82,51.7,78.87,27.17
30,52.37,25.77,11.06,58.69,90.19,31.5
31,57.28,28.14,10.97,51.23,106.2,54.97
32,51.14,33.6,11.07,113.99,223.91,109.92
33,51.74,43.09,12.69,134.11,275.72,141.61
34,72.4,53.53,10.81,87.39,154.85,67.46
35,68.12,51.26,11.18,175.53,392.29,216.76
36,64.96,41.6,11.13,145.14,319.12,173.98
37,79.86,48.41,9.98,120.53,251.75,131.22
38,66.16,43.55,11.33,173.36,394.58,221.22
39,18.76,54.99,10.62,140.42,308.26,167.84
40,71.06,55.53,9.35,96.08,183.98,87.9
41,21.72,64.87,10.24,106.27,223.5,117.23
42,5.41,62.34,9.46,92.67,182.79,90.12
43,19.17,50.79,8.67,56.37,89.82,33.45
44,67.03,50.57,8.7,60.89,87.57,26.68
45,36.19,14.62,8.64,55.08,78.06,22.98
46,48.89,46.25,8.62,49.08,68.77,19.69
47,39.88,33.74,8.42,33.56,44.43,10.87
48,39.49,30.42,8.9,36.38,50.99,14.61
49,26.7,22.45,8.56,46.5,63.06,16.56
50,34.02,12.62,9.06,55.96,77.13,21.17
51,26.54,18.45,9.01,59.53,79.32,19.79
52,41.12,24.58,8.38,65.75,89.54,23.79
53,41.25,21.05,8.17,73.46,96.72,23.26
54,51.21,26.49,8.03,60.66,74.3,13.64
55,46.37,30.91,7.81,58.36,71.92,13.56
56,42.39,20.54,7.96,54.9,65.76,10.86
57,38.67,20.51,7.67,61.07,74.55,13.48
58,34.38,27.15,7.71,58.34,68.39,10.05
59,29.34,25.91,7.64,54.87,61.64,6.77
60,32.89,17.19,7.61,46.45,51.79,5.34
61,40.36,10.73,7.54,37.81,41.7,3.89
62,42.1,19.95,7.73,42.26,45.68,3.42
63,38.92,23.7,8.29,55.53,61.12,5.59
64,43.22,17.2,7.44,56.45,63.23,6.78
65,28.54,14.54,7.1,56.55,62.21,5.66
66,30.07,20.52,7.23,70.91,87.72,16.81
67,36.91,28.44,7.59,70.03,93.14,23.11
68,26.79,22.19,7.58,63.36,88.5,25.14
69,24.65,16.25,7.92,70.31,101.15,30.84
70,19.47,20.35,8.02,80.03,120.85,40.82
71,24.05,22.73,7.96,68.34,97.89,29.55
72,34.02,19.87,7.8,63.18,90.49,27.31
73,34.62,7.11,7.04,47.24,53.54,6.3
74,39.54,9.4,6.97,53.44,61.82,8.38
75,25.5,19.44,7.18,51.66,64.14,12.48
76,16.81,13.88,6.82,43.41,49.73,6.32
77,15.81,20.59,6.8,42.54,47.06,4.52
78,19.3,16.72,6.69,49.44,53.85,4.41
79,20.55,10.8,6.92,72.22,92.2,19.98
80,30.76,10.04,7.11,83.84,113.67,29.83
81,39.18,14.4,7.34,80.91,108.17,27.26
82,31.55,19.12,7.7,82.95,119.2,36.25
83,37.16,19.93,7.84,78.72,117.55,38.83
84,32.46,23.12,8.15,81.31,125.07,43.76
85,30.48,12.92,8.47,43.95,56.65,12.7
