,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
0,,,44.23,,,
1,,,,122.76,,
2,,,,,,155.62
3,,,30.38,,,
4,,,,,365.31,
5,,,,,,89.62
6,93.22,,,,,
7,,,,,411.17,
8,93.59,,,,,
9,,,,,623.01,
10,104.81,,,,,
11,,,,,255.62,
12,,,17.39,,,
13,,,,,286.22,
14,,29.58,,,,
15,,,,,196.25,
16,,,,98.78,,
17,67.7,,,,,
18,,,,,185.57,
19,,,,155.18,,
20,,,,,,156.45
21,,,,139.31,,
22,,,19.3,,,
23,86.61,,,,,
24,,46.77,,,,
25,,,,,117.17,
26,,,,76.98,,
27,,,,88.0,,
28,,,,,,69.18
29,,,,,131.65,
30,,,,,214.1,
31,,23.3,,,,
32,,,15.95,,,
33,,,,,,206.85
34,,,,132.78,,
35,,68.02,,,,
36,,,16.83,,,
37,,,,142.79,,
38,109.3,,,,,
39,,,,,168.55,
40,108.34,,,,,
41,104.74,,,,,
42,,,,,119.55,
43,,35.64,,,,
44,,,,,130.03,
45,,,,,,40.88
46,,,,,90.29,
47,,,,67.28,,
48,,,,,96.78,
49,,,11.08,,,
50,,15.27,,,,
51,,,10.12,,,
52,,,,61.95,,
53,,,,,62.7,
54,,,,59.94,,
55,,,,,77.03,
56,,,,,74.2,
57,,,10.02,,,
58,,,9.85,,,
59,,,,,,10.67
60,,28.01,,,,
61,,,,81.25,,
62,,,9.07,,,
63,36.09,,,,,
64,,,9.22,,,
65,,,,,68.76,
66,,11.7,,,,
67,,,,,,39.68
68,,,,,132.97,
69,,,,83.99,,
70,,4.13,,,,
71,,4.81,,,,
72,38.53,,,,,
73,,,,57.96,,
74,28.64,,,,,
75,,,,53.83,,
76,,25.41,,,,
77,41.72,,,,,
78,,,,,,25.76
79,,10.69,,,,
80,53.05,,,,,
81,,,,128.03,,
82,,,,,197.03,
83,,,,,,62.08
84,43.3,,,,,
85,,,,,,22.51
86,,,0.26,,,
87,,,4.37,,,
88,34.72,,,,,
89,81.21,,,,,
90,,42.14,,,,
91,67.53,,,,,
92,,,,104.96,,
93,,,,,276.06,
94,,26.88,,,,
95,,,,256.83,,
96,,34.06,,,,
97,,,,,,107.99
98,,,3.89,,,
99,,,,140.75,,
100,,,,124.32,,
101,,,3.49,,,
102,61.2,,,,,
103,,,3.71,,,
104,,25.32,,,,
105,,31.31,,,,
106,53.39,,,,,
107,,,,,348.63,
108,,,,,,183.22
109,,,,,,169.69
110,,,5.26,,,
111,,,,,239.9,
112,51.15,,,,,
113,,,,,294.41,
114,,25.74,,,,
115,,21.72,,,,
116,52.01,,,,,
117,,29.21,,,,
118,,25.49,,,,
119,,,,,183.39,
120,,,4.02,,,
121,,,3.3,,,
122,40.46,,,,,
123,,,,103.17,,
124,,,,,,64.35
125,35.41,,,,,
126,,,,,233.89,
127,,,,,239.04,
128,69.57,,,,,
129,,8.68,,,,
130,,,,,98.01,
131,,,,,122.35,
132,,,,,102.99,
133,,21.59,,,,
134,,18.78,,,,
135,,,,156.61,,
136,,13.18,,,,
137,29.98,,,,,
138,,,4.13,,,
139,,24.63,,,,
140,,,,,212.79,
141,,22.98,,,,
142,50.96,16.09,3.47,123.38,211.71,88.33
143,,,,81.14,,
144,,,,90.35,,
145,,,,,,44.74
146,,7.26,,,,
147,31.14,,,,,
148,,,4.84,,,
149,,,4.19,,,
150,,,,,210.35,
151,,,,133.42,,
152,74.66,,,,,
153,,,,92.5,,
154,,,,55.86,,
155,,,,,57.57,
156,,,,,,4.0
157,,14.69,,,,
158,37.09,,,,,
159,,10.35,,,,
160,,,5.28,,,
161,,,5.53,,,
162,77.79,,,,,
163,,,,,206.48,
164,,39.19,,,,
165,,,,,163.29,
166,,21.92,,,,
167,,19.42,,,,
168,50.33,,,,,
169,,,,,109.76,
170,,,,,,23.77
171,,,,,71.7,
172,,,,65.49,,
173,,,5.21,,,
174,57.69,,,,,
175,,,4.33,,,
176,,,4.48,,,
177,,,,,,41.25
178,69.27,,,,,
179,,,3.11,,,
180,,,,,57.78,
181,,,2.11,,,
182,33.56,,,,,
183,,,,51.35,,
184,,,,,,3.05
185,,,,,,20.55
186,,,,,,67.43
187,,,,,316.99,
188,,,,,,154.53
189,,,,,,69.58
190,,,7.25,,,
191,,,7.32,,,
192,,,,,359.59,
193,,,,,278.54,
194,59.89,33.94,3.36,107.65,186.08,78.43
195,59.18,,,,,
196,,,,171.86,,
197,,33.6,,,,
198,,,,,105.08,
199,51.4,,,,,
200,43.8,,,,,
201,,,,,127.23,
202,,,,,,52.97
203,,,3.63,,,
204,,,,,,148.55
205,,,,,,103.89
206,,8.53,,,,
207,,,,125.0,,
208,,23.08,,,,
209,84.65,,,,,
210,,,,,67.3,
211,68.03,,,,,
212,,,,,98.18,
213,50.91,,,,,
214,,19.84,,,,
215,,15.25,,,,
216,,,5.29,,,
217,55.85,,,,,
218,,,4.66,,,
219,,23.04,,,,
220,,,6.09,,,
221,64.52,,,,,
222,,,,107.11,,
223,,,,125.9,,
224,,,,,,33.76
225,,23.09,,,,
226,,,3.66,,,
227,,,,,,86.87
228,,,,,360.29,
229,,,12.13,,,
230,,,,,,67.91
231,,,,113.71,,
232,,,,,128.32,
233,,,,,,34.67
234,,,7.56,,,
235,,,,,103.34,
236,,,,,,8.91
237,,,,100.99,,
238,,,,123.68,,
239,,,5.72,,,
240,,,,,,44.95
241,,,,,,345.99
242,,13.47,,,,
243,,,5.25,,,
244,,,5.5,,,
245,,,,76.04,,
246,38.47,,,,,
247,,,,,47.93,
248,,,,,58.04,
249,,,,60.28,,
250,,,,81.35,,
251,,8.42,,,,
252,6.46,,,,,
253,10.7,,,,,
254,,2.75,,,,
255,,1.87,,,,
256,15.88,,,,,
257,,1.54,,,,
258,,1.84,,,,
259,,,,39.49,,
260,,,,,37.19,
261,,,,37.22,,
262,26.02,,,,,
263,,12.85,,,,
264,,,,,41.77,
265,,,1.49,,,
266,12.92,,,,,
267,,,,,73.36,
268,,,,,,6.95
269,10.47,2.82,1.89,51.44,56.6,5.16
270,,,,,,4.05
271,,,,,,4.03
272,,,,46.14,,
273,19.05,,,,,
274,18.92,,,,,
275,,5.54,,,,
276,,,,38.49,,
277,,,1.96,,,
278,,,,56.48,,
279,,,,66.06,,
280,,2.48,,,,
281,,,7.6,,,
282,,,,,40.05,
283,,,7.06,,,
284,,,,,93.98,
285,25.1,,,,,
286,,,,,,20.97
287,24.6,,,,,
288,,,,,,2.76
289,,,,,,7.13
290,,2.09,,,,
291,,,1.73,,,
292,,1.22,,,,
293,,,,,,4.36
294,,,,30.78,,
295,3.28,,,,,
296,,,,,42.23,
297,,1.03,,,,
298,4.71,,,,,
299,,,,,,4.08
300,,,1.24,,,
301,,0.45,,,,
302,,,,,,29.58
303,,,,,,4.89
304,,,1.98,,,
305,,,,,,5.79
306,9.27,,,,,
307,,,,,,1.28
308,,,,,36.85,
309,,,,,32.59,
310,0.93,,,,,
311,0.88,,,,,
312,,,,38.41,,
313,,,3.63,,,
314,,,,,,24.37
315,,,2.93,,,
316,,,1.0,,,
317,,,1.15,,,
318,,,,,,11.74
319,,4.64,,,,
320,,,,,,109.46
321,,,,,,89.84
322,,,,,,10.23
323,22.44,,,,,
324,,,,,36.58,
