,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
0,,72.57,,,,,
1,,,,,,,3.1
2,,,,,,410.96,
3,,,,,,417.82,
4,,,9.9,,,,
5,168.9,,,,,,
6,,34.18,,,,,
7,,,,,,,4.05
8,,,,,844.81,,
9,,,,154.38,,,
10,,69.34,,,,,
11,,,,,425.23,,
12,,,,,348.71,,
13,,101.41,,,,,
14,,,,,,135.04,
15,,,,,,86.31,
16,,,,,,,2.08
17,,,,,,54.21,
18,,44.72,,,,,
19,,,,,,,2.34
20,,,,,,,2.91
21,92.37,,,,,,
22,108.42,,,,,,
23,,,,73.2,,,
24,,,,,,,5.22
25,,,,,119.87,,
26,,,,72.01,,,
27,,34.62,,,,,
28,,,,,154.37,,
29,69.02,,,,,,
30,,,,,,,2.29
31,,33.1,,,,,
32,65.73,,,,,,
33,,45.88,,,,,
34,,,,,,,2.57
35,,,,,,,2.06
36,,,,,,215.55,
37,,,,118.07,,,
38,,,,,,,1.95
39,,,,75.29,,,
40,,,,,,,7.28
41,,,,70.86,,,
42,,,,,,88.98,
43,44.88,,,,,,
44,,,,,,42.3,
45,,,,,,,4.96
46,,,,79.09,,,
47,,,9.35,,,,
48,43.31,,,,,,
49,,,,,,49.26,
50,,,,,,43.54,
51,,,,,123.34,,
52,,,,,,,1.95
53,,,,78.69,,,
54,,,,,,20.44,
55,,,,,,19.46,
56,,23.87,,,,,
57,,,,,89.22,,
58,22.88,,,,,,
59,,,,64.5,,,
60,,,,,,,5.19
61,,,,,79.06,,
62,26.53,,,,,,
63,,,,74.23,,,
64,,,,,,23.42,
65,,,,81.98,,,
66,,,7.45,,,,
67,33.11,,,,,,
68,,7.61,,,,,
69,42.29,,,,,,
70,,,,,143.73,,
71,,,,,,50.46,
72,,,,78.81,,,
73,,13.02,,,,,
74,,,6.86,,,,
75,,9.65,,,,,
76,,,,,,,2.13
77,,,7.05,,,,
78,28.01,,,,,,
79,,,,,39.94,,
80,,,,,,9.72,
81,,,,,,13.14,
82,,,,69.12,,,
83,36.7,16.62,9.28,90.16,154.32,64.16,10.76
84,40.93,,,,,,
85,,,,,,,21.46
86,,,,,195.06,,
87,,52.92,,,,,
88,,,15.55,,,,
89,,,,,,,18.66
90,162.66,,,,,,
91,,,,78.55,,,
92,,,11.1,,,,
93,,,,,428.18,,
94,,,,,,857.9,
95,,,,322.01,,,
96,,,,,,413.52,
97,,,,,,,4.54
98,188.68,,,,,,
99,,100.71,,,,,
100,,,,162.5,,,
101,,,,,,150.75,
102,,,,,279.56,,
103,,,6.56,,,,
104,,,6.21,,,,
105,,155.97,,,,,
106,,,,,176.48,,
107,,,4.64,,,,
108,,,,,,,6.24
109,,,,,,,7.36
110,,,,73.02,,,
111,,16.35,,,,,
112,,,,305.52,,,
113,,,,,,,5.42
114,,,16.8,,,,
115,,,,,,,4.99
116,,,,,,204.23,
117,170.69,,,,,,
118,168.01,,,,,,
119,,,6.02,,,,
120,,,,,,31.7,
121,,28.99,,,,,
122,,,,,,,4.75
123,,70.95,,,,,
124,,,4.35,,,,
125,,,,,,,4.72
126,,72.17,,,,,
127,,,17.96,,,,
