,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
0,191.1,42.08,6.73,2132.53,4.84,4
1,171.0,44.11,6.94,1972.46,4.57,4
2,143.5,43.53,5.5,1696.22,3.94,4
3,125.5,39.14,5.5,1304.05,3.36,4
4,112.8,35.81,4.94,1132.15,3.18,4
5,105.7,36.95,4.4,1026.48,3.06,3
6,65.3,15.6,6.2,1063.04,2.43,3
7,70.3,15.54,6.12,1022.34,2.72,3
8,78.0,16.52,5.94,838.01,2.44,3
9,64.7,16.81,4.92,566.27,2.38,3
10,55.7,18.19,5.14,456.41,2.56,2
11,45.2,18.93,4.26,423.17,2.36,2
12,43.1,19.14,4.49,373.67,2.14,2
13,36.4,21.93,4.09,338.77,2.32,2
14,40.9,18.84,3.8,269.44,2.68,2
15,35.1,14.79,4.29,246.86,2.68,2
16,26.1,13.56,3.57,208.96,2.94,1
17,22.4,12.18,4.09,190.75,2.69,2
18,26.2,11.19,4.07,215.54,2.38,2
19,30.8,21.09,4.3,626.98,2.47,2
20,30.7,18.61,4.27,579.32,2.56,2
21,39.6,13.48,5.28,804.7,3.43,3
22,54.0,16.35,5.61,863.86,3.63,4
23,103.7,21.56,6.77,1053.92,4.1,4
24,112.6,29.29,7.82,991.65,3.89,4
25,122.5,28.06,7.28,982.07,3.46,4
26,130.2,28.0,7.16,975.24,3.3,4
27,121.3,30.75,5.82,1036.51,3.22,4
28,113.3,29.09,6.34,1405.06,3.46,4
29,111.9,25.0,6.48,1459.56,3.16,4
30,107.8,25.03,6.58,1333.1,3.27,4
31,110.4,24.57,6.06,1259.17,3.08,4
32,104.1,25.87,6.63,1112.05,3.01,4
33,102.7,27.44,6.07,1007.34,2.75,4
34,92.7,26.26,6.54,994.5,2.5,3
35,83.8,21.95,5.91,1121.6,2.54,3
36,72.1,22.76,5.16,973.04,2.76,3
37,55.2,20.36,5.29,908.06,2.51,3
38,52.5,15.24,4.45,542.59,2.16,3
39,52.3,11.85,5.1,385.54,2.5,2
40,41.5,15.11,4.34,384.3,2.6,2
41,30.5,17.9,4.87,570.92,2.27,2
42,35.1,18.15,4.72,554.9,2.44,2
43,36.0,14.39,4.69,541.57,2.46,2
44,47.3,13.58,4.22,572.57,2.79,2
45,45.2,19.61,4.67,561.61,3.43,3
46,54.5,18.41,4.94,610.23,3.51,3
47,61.9,17.23,5.05,694.98,3.2,3
48,57.0,21.07,4.87,693.3,2.89,3
49,60.6,25.51,4.69,728.05,2.44,3
50,64.4,20.76,4.92,793.22,2.55,3
51,57.1,21.98,4.28,715.53,2.26,3
52,54.2,20.92,4.68,676.66,2.33,3
53,56.0,21.09,4.24,670.39,2.34,3
54,50.0,24.29,4.44,724.58,2.46,3
55,52.7,23.97,4.56,532.57,2.17,2
56,49.5,19.86,4.03,491.08,1.89,2
57,47.8,17.04,4.23,619.47,2.05,2
