,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
0,,,80.31,,
1,,,,309.27,
2,,5.93,,,
3,,,,,175.36
4,,,,,270.72
5,93.9,,,,
6,,6.49,,,
7,,6.44,,,
8,,,,,89.18
9,,,,203.84,
10,,,,,42.94
11,,,,167.47,
12,,,,,133.15
13,,,,196.52,
14,38.32,,,,
15,33.69,,,,
16,,,,112.25,
17,,4.2,,,
18,,,,,41.78
19,,,111.15,,
20,,,,211.27,
21,,,,367.96,
22,36.45,,,,
23,,,,,142.19
24,,11.57,,,
25,,12.09,,,
26,,,107.8,,
27,,,65.73,,
28,,7.09,,,
29,76.68,,,,
30,,,70.97,,
31,76.52,,,,
32,79.06,,,,
33,,,,,165.86
34,,,,171.31,
35,,,,159.18,
36,,9.33,,,
37,45.52,,,,
38,,,71.39,,
39,,,,55.68,
40,,,54.16,,
41,21.78,,,,
42,,,,139.18,
43,23.79,,,,
44,,,66.23,,
45,,8.96,,,
46,38.32,,,,
47,,,74.63,,
48,,,70.71,,
49,,,,,29.76
50,,,,119.66,
51,43.39,,,,
52,,,,126.11,
53,,,96.88,,
54,,,,135.84,
55,45.48,,,,
56,47.83,,,,
57,,,,,16.71
58,35.02,,,,
59,,,,,9.77
60,,,70.67,,
61,,,,,12.68
62,,,,84.57,
63,,,,,18.11
64,,,,,33.2
65,,,82.01,,
66,,,79.19,,
67,,,,120.58,
68,43.7,,,,
69,,,,127.26,
70,47.09,,,,
71,,,87.69,,
72,,,,127.33,
73,,,80.37,,
74,,,79.99,,
75,,,85.22,,
76,,,,138.55,
77,,,,120.26,
78,,,73.26,,
79,39.94,,,,
80,37.82,,,,
81,,,,,20.35
82,,,,,41.9
83,26.28,,,,
84,,,55.7,,
85,,,,,15.56
86,,4.06,,,
87,,,,92.69,
88,,4.39,,,
89,85.19,,,,
90,,,,,33.54
91,,,93.74,,
92,,4.01,,,
93,,,,,23.47
94,,3.87,,,
95,,4.15,,,
96,,,,710.64,
97,,5.67,,,
98,,6.29,,,
99,,5.67,,,
100,,3.47,,,
101,,,148.17,,
102,,3.39,,,
103,,,,213.92,
104,71.75,,,,
105,63.33,,,,
106,,,,,39.16
107,,,,227.15,
108,,3.19,,,
109,39.06,,,,
110,,3.3,,,
111,,,,,31.98
112,,,128.18,,
113,,,,,127.17
114,,,78.71,,
115,44.18,,,,
116,,,,,39.83
117,,,125.49,,
118,,,,,93.69
119,,,219.2,,
120,,,,505.02,
121,,,177.55,,
122,55.71,,,,
123,,,,,145.84
124,,,130.2,,
125,,2.97,,,
126,,,,,167.56
127,,,,,113.31
128,55.3,,,,
129,,,,165.9,
130,,2.91,,,
131,,2.65,,,
132,,2.32,,,
133,,2.12,,,
134,,,,,20.97
135,32.37,,,,
136,,1.93,,,
137,,,,,41.57
138,,,,,101.37
139,28.83,,,,
140,,,,392.13,
141,,4.8,,,
142,66.62,,,,
143,,2.86,,,
144,,2.6,,,
145,52.77,,,,
146,,2.75,,,
147,48.0,,,,
148,,,,,83.33
149,,,119.37,,
150,40.03,,,,
151,,3.39,,,
152,,3.2,,,
153,,,71.26,,
154,51.94,,,,
155,,,,54.3,
156,,,,,4.86
157,37.86,,,,
158,,3.3,,,
159,,,114.52,,
