,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,OUT
0,85.04,39.7,44.23,122.76,227.33,104.57,3
1,85.04,39.7,44.23,122.76,227.33,104.57,3
2,68.79,45.3,31.73,147.37,302.99,155.62,3
3,67.06,38.21,30.38,166.26,356.46,190.2,3
4,65.8,44.14,27.07,169.47,365.31,195.84,3
5,63.29,43.99,22.42,104.59,194.21,89.62,4
6,93.22,39.09,32.67,208.63,370.71,162.08,4
7,93.09,40.56,29.9,219.65,411.17,191.52,4
8,93.59,33.72,29.05,285.14,586.3,301.16,4
9,110.66,35.26,26.82,298.82,623.01,324.19,4
10,104.81,32.2,21.86,180.06,357.42,177.36,4
11,93.37,27.28,19.33,138.21,255.62,117.41,4
12,95.23,27.29,17.39,129.02,233.64,104.62,4
13,91.26,31.01,11.6,151.76,286.22,134.46,4
14,90.6,29.58,12.94,133.69,257.01,123.32,3
15,89.28,38.17,11.27,106.91,196.25,89.34,3
16,81.16,32.99,10.86,98.78,179.96,81.18,3
17,67.7,29.27,10.68,96.62,173.47,76.85,3
18,62.15,32.79,14.19,101.62,185.57,83.95,3
19,46.68,31.66,18.57,155.18,313.57,158.39,3
20,53.51,41.89,19.77,149.11,305.56,156.45,3
21,70.82,50.35,18.14,139.31,276.65,137.34,3
22,76.6,48.93,19.3,137.34,273.88,136.54,3
23,86.61,48.19,21.09,71.19,111.15,39.96,3
24,76.73,46.77,19.78,69.32,102.06,32.74,3
25,69.08,35.03,21.68,74.52,117.17,42.65,3
26,69.69,30.21,19.16,76.98,123.71,46.73,3
27,63.32,25.99,17.16,88.0,138.24,50.24,3
28,54.43,18.19,15.46,97.46,166.64,69.18,3
29,58.99,19.01,13.23,81.36,131.65,50.29,3
30,61.23,24.68,14.72,117.03,214.1,97.07,3
31,68.29,23.3,16.6,152.92,299.59,146.67,3
32,72.35,37.26,15.95,153.16,298.09,144.93,3
33,72.06,44.52,16.51,192.12,398.97,206.85,3
34,70.83,40.37,14.99,132.78,273.54,140.76,4
35,83.04,68.02,16.37,167.08,352.54,185.46,4
36,97.19,87.48,16.83,230.07,519.16,289.09,4
37,93.5,83.14,13.04,142.79,282.18,139.39,4
38,109.3,106.52,20.35,134.72,267.0,132.28,4
39,106.53,62.59,21.04,95.19,168.55,73.36,4
40,108.34,35.88,17.21,83.12,136.56,53.44,4
41,104.74,23.86,21.57,89.82,153.98,64.16,3
42,89.22,23.48,20.48,77.35,119.55,42.2,3
43,76.65,35.64,21.93,81.86,130.38,48.52,3
44,75.81,37.89,22.7,79.92,130.03,50.11,2
45,49.33,13.1,13.53,76.81,117.69,40.88,2
46,46.3,13.62,11.84,62.76,90.29,27.53,2
47,41.85,20.47,11.49,67.28,94.03,26.75,2
48,45.3,20.22,11.68,68.95,96.78,27.83,2
49,44.29,14.67,11.08,65.63,82.53,16.9,2
50,42.39,15.27,10.42,72.65,94.4,21.75,2
51,42.01,18.23,10.12,67.33,82.58,15.25,2
52,41.55,12.76,9.6,61.95,73.94,11.99,2
53,38.48,14.23,8.76,51.39,62.7,11.31,2
54,36.84,19.56,9.06,59.94,74.34,14.4,2
55,32.06,17.89,8.9,61.41,77.03,15.62,2
56,37.85,21.66,8.69,61.19,74.2,13.01,2
57,35.86,14.54,10.02,57.04,68.36,11.32,2
58,36.62,19.34,9.85,53.86,64.84,10.98,2
59,39.73,25.3,9.38,48.5,59.17,10.67,2
60,38.96,28.01,9.55,69.3,81.81,12.51,3
61,51.17,45.94,9.74,81.25,97.04,15.79,3
62,45.72,45.3,9.07,64.89,79.17,14.28,3
63,36.09,30.38,9.28,82.3,100.16,17.86,2
64,26.21,21.89,9.22,73.21,93.73,20.52,2
65,26.92,16.01,9.12,51.0,68.76,17.76,2
66,20.0,11.7,9.42,63.42,91.31,27.89,2
67,24.72,8.19,9.93,85.23,124.91,39.68,2
68,33.42,5.97,9.92,89.47,132.97,43.5,2
69,31.02,4.94,10.29,83.99,121.2,37.21,2
70,39.48,4.13,10.13,70.17,102.21,32.04,2
71,41.29,4.81,9.8,67.8,100.2,32.4,2
72,38.53,14.61,10.03,74.82,111.75,36.93,2
73,32.85,28.77,9.12,57.96,84.6,26.64,2
74,28.64,20.86,8.24,53.91,76.7,22.79,2
75,22.78,20.75,7.8,53.83,68.32,14.49,2
76,29.09,25.41,8.11,59.09,75.67,16.58,2
77,41.72,21.81,11.07,81.66,99.95,18.29,2
78,44.18,15.27,10.21,95.85,121.61,25.76,3
79,53.71,10.69,10.96,103.94,146.9,42.96,3
80,53.05,9.28,10.86,105.95,151.37,45.42,3
