,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
0,,,,237.45,,
1,107.99,,,,,
2,,4.41,,,,
3,,,,212.22,,
4,,,,,82.48,
5,63.75,,,,,
6,,,,113.26,,
7,52.92,,,,,
8,,9.66,,,,
9,,,,,255.69,
10,,,128.89,,,
11,,,205.12,,,
12,,,,,65.12,
13,,5.04,,,,
14,,,192.2,,,
15,,,,301.59,,
16,,,,,,3.7
17,,,,,,3.82
18,,3.59,,,,
19,,,,,,3.75
20,,,169.69,,,
21,,,,,,4.34
22,,,,,308.38,
23,,,,,24.41,
24,,,,,16.64,
25,,,,,21.33,
26,,14.9,,,,
27,,,,,,11.95
28,,,,89.71,,
29,,,,,,6.72
30,,,,,,4.06
31,,,,,,4.14
32,,,121.38,,,
33,,,,,,3.85
34,54.63,4.29,75.18,141.6,66.42,3.86
35,,,,,,3.63
36,,4.45,,,,
37,50.2,,,,,
38,,,,,70.81,
39,,,,137.0,,
40,,,,71.6,,
41,,,,,,3.77
42,,,57.96,,,
43,,,60.54,,,
44,,,,97.33,,
45,,,,,,14.8
46,,,33.35,,,
47,,,39.72,,,
48,17.97,,,,,
49,,3.28,,,,
50,,,,,,13.51
51,,2.67,,,,
52,14.69,,,,,
53,,,,44.61,,
54,,,,40.92,,
55,20.86,,,,,
56,,,40.55,,,
57,,,,,,14.77
58,,,25.39,,,
59,,,,26.64,,
60,12.17,,,,,
61,,,23.0,,,
62,8.86,,,,,
63,,,,23.65,,
64,,,,,2.36,
65,,,23.66,,,
66,,1.73,,,,
67,8.46,,,,,
68,,,31.67,,,
69,,2.04,,,,
70,,,,,10.46,
71,,,29.5,,,
72,,,,,,15.14
73,,1.32,,,,
74,,1.15,,,,
75,,,,,2.09,
76,,,,,0.83,
77,,,,10.41,,
78,,,,,,23.27
79,,1.39,,,,
80,,1.18,,,,
81,,,,,7.89,
82,,,,,,15.5
83,1.42,,,,,
84,4.54,,,,,
85,,,,,,17.5
86,,,,,34.14,
87,13.49,,,,,
88,,,,,9.04,
89,114.94,,,,,
90,,5.25,,,,
91,,,,29.77,,
92,,,,35.97,,
93,,,,,,17.84
94,36.53,,,,,
95,,,,,205.4,
96,,,193.1,,,
97,,,205.43,,,
98,,15.35,,,,
99,,,,373.65,,
100,,,,,206.52,
101,,,,,88.09,
102,,,,,,4.04
103,,4.47,,,,
104,,4.11,,,,
105,,3.39,,,,
106,,,,,40.48,
107,30.82,,,,,
108,,,,,,4.75
109,,,,305.48,,
110,,,24.26,,,
111,25.81,,,,,
112,,8.14,,,,
113,,,,,,4.61
114,,,,,7.29,
115,,,,,,19.1
116,,3.23,,,,
117,,,149.1,,,
118,,,131.24,,,
119,,,,,79.56,
120,,,87.38,,,
121,,,,,,6.1
122,,,,,53.22,
123,,3.63,,,,
