,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,OUT
0,107.99,6.18,108.15,237.45,129.3,1.24,4
1,107.99,6.18,108.15,237.45,129.3,1.24,4
2,102.72,4.41,83.61,172.76,89.14,3.97,4
3,95.37,4.27,98.43,212.22,113.78,4.13,3
4,86.68,3.63,80.92,163.4,82.48,3.86,3
5,63.75,3.3,54.39,96.72,42.33,3.7,3
6,57.1,7.75,76.2,113.26,37.06,10.37,3
7,52.92,7.34,167.42,338.5,171.09,4.43,4
8,71.82,9.66,226.56,504.08,277.53,5.17,4
9,120.82,15.22,204.49,460.19,255.69,4.92,4
10,125.14,7.97,128.89,256.21,127.31,3.64,4
11,116.65,7.8,205.12,458.97,253.86,4.18,4
12,116.04,5.35,98.35,163.47,65.12,4.07,3
13,80.9,5.04,146.14,300.48,154.34,3.92,3
14,71.54,5.07,192.2,430.15,237.95,3.91,3
15,68.71,4.55,140.01,301.59,161.58,3.88,3
16,59.11,4.41,94.98,184.42,89.44,3.7,3
17,62.09,3.9,97.12,179.71,82.59,3.82,3
18,61.9,3.59,112.78,221.02,108.23,3.82,3
19,52.66,3.6,132.77,276.6,143.84,3.75,3
20,50.89,4.48,169.69,365.39,195.7,4.09,4
21,60.74,5.36,275.12,596.27,321.15,4.34,4
22,78.88,11.3,245.7,554.08,308.38,4.91,4
23,151.17,9.42,41.94,66.35,24.41,9.86,4
24,98.24,9.77,34.55,51.19,16.64,11.41,4
25,90.49,12.62,46.23,67.57,21.33,10.77,3
26,83.25,14.9,43.69,61.88,18.2,11.36,3
27,66.0,15.36,37.81,50.1,12.3,11.95,3
28,63.88,13.77,58.38,89.71,31.32,7.59,3
29,53.52,12.04,62.31,95.66,33.36,6.72,2
30,46.4,10.24,89.47,161.36,71.89,4.06,3
31,56.12,8.03,134.53,277.52,142.98,4.14,3
32,62.54,6.54,121.38,259.32,137.93,3.94,3
33,56.64,4.89,95.77,194.98,99.21,3.85,3
34,54.63,4.29,75.18,141.6,66.42,3.86,3
35,57.35,3.86,69.74,125.55,55.81,3.63,3
36,45.66,4.45,100.7,208.44,107.75,3.86,3
37,50.2,4.5,80.32,155.85,75.54,3.8,2
38,44.84,3.93,75.75,146.56,70.81,3.7,2
39,48.16,2.88,72.07,137.0,64.92,3.74,3
40,51.04,2.83,48.32,71.6,23.28,3.9,2
41,36.91,2.71,56.7,92.48,35.78,3.77,2
42,45.84,2.73,57.96,88.48,30.52,3.89,2
43,42.68,2.87,60.54,90.2,29.66,5.36,2
44,30.78,3.1,59.57,97.33,37.76,7.24,1
45,21.51,2.75,31.54,42.12,10.58,14.8,1
46,21.86,3.58,33.35,45.06,11.71,16.44,1
47,22.48,3.82,39.72,55.91,16.19,13.52,1
48,17.97,3.73,35.27,44.72,9.45,14.96,1
49,23.29,3.28,39.05,47.69,8.64,14.67,1
50,21.13,2.68,43.37,54.63,11.26,13.51,1
51,15.3,2.67,44.14,52.78,8.64,11.88,2
52,14.69,2.62,56.77,72.96,16.19,8.89,2
53,30.1,3.03,39.48,44.61,5.13,11.24,1
54,21.86,2.7,36.47,40.92,4.45,11.91,1
55,20.86,2.38,39.46,46.16,6.7,10.4,1
56,22.36,2.26,40.55,45.5,4.95,9.37,1
57,13.48,2.01,26.55,29.38,2.83,14.77,1
58,12.55,1.6,25.39,27.06,1.67,15.18,1
59,9.7,1.73,25.21,26.64,1.43,15.02,1
60,12.17,1.72,24.98,26.43,1.46,14.54,1
61,11.87,1.46,23.0,24.53,1.53,15.59,1
62,8.86,1.29,22.12,25.11,3.0,17.5,1
63,6.63,1.62,21.24,23.65,2.41,17.08,1
64,6.54,1.58,21.32,23.68,2.36,17.24,1
65,5.25,1.68,23.66,28.64,4.98,16.63,1
66,5.01,1.73,29.86,39.36,9.5,14.71,1
67,8.46,1.52,31.43,39.62,8.19,14.49,1
68,7.42,1.73,31.67,40.72,9.05,15.0,1
69,13.06,2.04,34.89,44.62,9.73,15.3,1
70,13.3,1.64,32.08,42.54,10.46,14.8,1
71,10.22,1.67,29.5,39.85,10.35,15.91,1
72,13.05,1.68,32.19,42.0,9.82,15.14,1
73,14.69,1.32,17.46,20.15,2.69,19.01,1
74,10.28,1.15,16.26,18.04,1.78,19.6,1
75,7.38,0.92,17.41,19.5,2.09,19.23,1
76,6.09,0.96,11.46,12.3,0.83,22.34,1
77,4.26,1.15,9.61,10.41,0.8,22.66,1
78,3.09,1.02,9.35,10.15,0.8,23.27,1
79,2.72,1.39,12.24,13.12,0.89,20.99,1
80,1.9,1.18,35.97,40.06,4.09,12.52,1
81,1.37,1.37,36.84,44.73,7.89,13.62,2
82,1.16,1.33,59.17,89.46,30.29,15.5,1
83,1.42,1.18,32.71,42.54,9.83,17.03,1
84,4.54,1.72,29.18,40.13,10.96,17.2,1
85,9.86,2.56,29.09,39.38,10.28,17.5,1
86,7.99,3.34,36.46,70.6,34.14,14.96,1
87,13.49,3.69,22.38,29.54,7.16,22.11,2
88,28.16,4.05,24.27,33.3,9.04,21.85,4
89,114.94,6.51,26.45,35.96,9.51,26.14,3
90,84.51,5.25,20.15,25.74,5.6,31.02,3
91,52.42,4.99,23.62,29.77,6.15,29.58,2
92,31.74,5.18,27.88,35.97,8.1,28.38,2
93,30.32,5.74,54.86,67.48,12.62,17.84,3
94,36.53,7.66,175.4,344.91,169.51,4.86,3
95,61.96,19.61,190.68,396.08,205.4,5.08,4
96,102.14,24.09,193.1,421.22,228.12,5.14,4
97,125.24,17.6,205.43,453.57,248.14,4.68,4
98,144.97,15.35,209.94,471.6,261.66,4.82,4
99,158.54,15.81,169.41,373.65,204.24,4.14,4
100,148.96,11.41,170.68,377.2,206.52,4.42,4
101,135.61,6.79,108.84,196.92,88.09,3.5,4
102,120.89,5.45,73.66,105.74,32.09,4.04,3
103,87.8,4.47,38.59,43.62,5.03,10.95,3
104,58.17,4.11,41.14,46.31,5.17,10.74,3
105,50.77,3.39,59.78,74.53,14.75,6.48,2
106,43.83,2.62,83.41,123.88,40.48,4.74,3
107,30.82,3.11,158.43,293.91,135.49,3.8,4
108,29.88,3.8,283.65,577.45,293.8,4.75,3
109,33.59,6.62,158.32,305.48,147.15,5.72,2
110,30.25,3.62,24.26,29.79,5.53,28.46,2
111,25.81,5.34,64.71,87.6,22.89,18.87,4
112,30.66,8.14,228.19,463.71,235.52,4.54,3
113,56.81,16.63,154.9,285.94,131.04,4.61,2
114,14.21,5.46,51.66,58.95,7.29,14.27,1
115,15.01,4.12,37.88,43.89,6.01,19.1,3
116,21.32,3.23,114.45,202.8,88.35,4.87,3
117,30.41,5.44,149.1,298.14,149.03,4.25,3
118,49.99,6.68,131.24,252.55,121.31,4.15,3
119,61.69,6.17,105.28,184.84,79.56,3.9,3
120,58.09,6.4,87.38,135.38,48.0,4.67,3
121,51.73,6.1,76.72,122.74,46.02,6.1,2
122,30.22,4.59,78.34,131.56,53.22,3.76,2
123,23.27,3.63,73.93,124.45,50.53,3.7,2
124,18.64,3.46,73.39,126.34,52.95,3.64,3
125,14.56,4.59,118.01,238.1,120.09,3.89,3
126,18.49,4.36,107.26,197.68,90.41,5.99,2
127,28.04,6.88,69.23,111.89,42.66,12.93,2
128,32.16,6.99,23.83,30.51,6.68,22.15,2
129,28.38,7.0,23.41,29.96,6.55,24.87,1
130,22.33,5.74,34.67,46.43,11.76,23.23,2
131,25.94,3.51,20.35,26.92,6.57,27.27,2
