,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3,OUT
0,168.93,72.57,8.7,232.58,592.46,359.88,3.1,4
1,168.93,72.57,8.7,232.58,592.46,359.88,3.1,4
2,175.13,85.43,11.11,262.78,673.75,410.96,2.72,5
3,181.77,95.19,11.17,263.56,681.37,417.82,3.55,4
4,179.82,89.47,9.9,219.58,559.38,339.79,2.71,4
5,168.9,83.5,9.41,187.11,466.77,279.66,2.2,3
6,73.82,34.18,19.36,168.85,337.11,168.26,6.24,5
7,360.41,48.35,18.3,280.6,650.71,370.11,4.05,5
8,293.69,75.65,18.43,344.89,844.81,499.92,3.52,5
9,276.3,95.37,13.56,154.38,307.09,152.71,2.62,4
10,171.18,69.34,13.82,221.93,519.15,297.22,3.41,5
11,188.62,102.51,12.08,188.25,425.23,236.98,2.83,4
12,153.95,95.98,10.47,160.1,348.71,188.61,2.62,4
13,146.86,101.41,10.34,142.6,303.6,160.99,2.46,4
14,131.02,74.01,10.0,124.8,259.84,135.04,2.21,4
15,127.31,68.83,9.08,98.74,185.06,86.31,2.32,4
16,116.37,66.74,8.54,80.94,140.7,59.76,2.08,4
17,102.3,66.9,8.52,75.02,129.24,54.21,2.13,3
18,82.87,44.72,8.6,87.06,169.28,82.23,2.29,3
19,86.48,44.75,8.99,91.63,188.3,96.67,2.34,4
20,94.94,54.36,9.6,166.61,396.6,230.0,2.91,4
21,92.37,65.62,11.13,268.16,669.04,400.88,3.55,4
22,108.42,67.86,10.09,155.76,345.5,189.74,2.44,3
23,83.21,37.85,13.11,73.2,125.8,52.6,7.54,3
24,69.33,33.37,13.51,86.84,151.71,64.87,5.22,3
25,72.54,32.36,13.55,73.13,119.87,46.74,7.51,3
26,72.84,24.62,14.55,72.01,120.8,48.79,8.47,3
27,75.8,34.62,12.78,71.67,114.45,42.78,5.74,3
28,72.99,30.67,12.28,88.07,154.37,66.3,3.89,3
29,69.02,22.91,12.08,99.28,187.38,88.1,2.64,3
30,69.21,32.75,11.37,122.0,256.22,134.23,2.29,3
31,75.69,33.1,11.15,137.34,309.27,171.93,2.54,3
32,65.73,37.74,11.18,132.36,294.42,162.06,2.48,3
33,73.84,45.88,10.75,128.66,289.09,160.43,2.08,3
34,80.17,54.64,10.52,131.33,300.81,169.48,2.57,4
35,87.17,63.14,9.85,150.99,359.25,208.26,2.06,4
36,92.08,59.66,9.73,149.82,365.37,215.55,2.41,4
37,98.32,62.04,9.99,118.07,270.04,151.98,2.94,3
38,89.13,49.02,9.74,94.29,198.41,104.13,1.95,3
39,86.79,53.96,9.47,75.29,140.33,65.04,1.67,3
40,63.52,35.25,8.56,41.8,57.0,15.2,7.28,3
41,56.62,25.88,8.7,70.86,132.08,61.23,4.77,3
42,51.13,28.68,8.48,90.38,179.36,88.98,1.95,2
43,44.88,25.76,8.39,61.59,92.52,30.93,3.6,2
44,48.62,28.54,9.11,72.67,114.96,42.3,3.75,2
45,46.84,27.56,9.57,83.99,143.51,59.52,4.96,3
46,59.51,27.78,9.21,79.09,131.65,52.56,7.61,2
47,49.06,24.83,9.35,76.92,126.28,49.36,7.55,2
48,43.31,22.27,9.3,81.86,132.53,50.67,6.57,3
49,36.12,30.41,8.87,86.28,135.54,49.26,5.24,2
50,35.05,22.58,8.69,88.2,131.74,43.54,3.62,3
51,35.62,30.56,8.52,86.69,123.34,36.65,1.91,2
52,39.28,29.03,8.35,82.93,117.25,34.32,1.95,2
53,30.99,24.01,8.16,78.69,107.16,28.46,2.24,2
54,38.22,29.32,8.29,72.75,93.19,20.44,2.23,3
55,45.06,31.76,7.98,72.47,91.93,19.46,2.56,2
56,43.12,23.87,7.79,71.81,92.99,21.18,2.27,2
57,31.02,21.36,7.93,72.41,89.22,16.81,2.19,2
58,22.88,15.34,7.72,70.42,83.86,13.45,2.37,2
59,30.81,15.09,7.34,64.5,73.96,9.46,3.95,2
60,33.37,11.28,7.22,62.37,71.42,9.05,5.19,2
61,26.19,8.85,7.21,68.81,79.06,10.25,2.98,2
62,26.53,6.96,7.37,72.61,87.24,14.63,2.71,2
63,31.95,7.17,7.25,74.23,89.34,15.11,2.37,2
64,32.87,5.09,7.31,77.71,101.12,23.42,2.76,2
65,36.29,5.11,7.35,81.98,118.53,36.55,4.38,2
66,36.76,12.48,7.45,79.12,118.06,38.94,6.93,2
67,33.11,8.75,7.93,80.2,124.37,44.16,8.1,2
68,36.21,7.61,8.15,81.58,127.53,45.95,10.25,2
69,42.29,21.41,8.23,77.6,120.88,43.28,12.43,2
70,31.89,23.73,8.09,87.9,143.73,55.83,9.17,2
71,41.35,25.02,7.9,86.81,137.28,50.46,9.56,2
72,44.37,27.16,7.72,78.81,115.6,36.79,7.51,2
73,22.2,13.02,6.79,68.58,84.88,16.31,3.09,2
74,25.75,13.79,6.86,70.67,92.72,22.05,2.17,2
75,24.53,9.65,7.2,77.68,105.96,28.28,1.88,2
76,17.93,8.16,7.07,84.59,121.28,36.69,2.13,2
77,22.53,20.87,7.05,83.21,115.78,32.58,2.47,2
78,28.01,23.4,7.11,37.17,45.52,8.35,16.34,2
79,29.02,24.71,7.22,32.34,39.94,7.6,20.23,2
80,28.89,24.4,7.07,31.73,41.45,9.72,26.91,2
81,20.37,17.48,7.32,35.39,48.53,13.14,26.8,2
82,17.86,16.59,8.19,69.12,103.1,33.97,15.62,2
83,36.7,16.62,9.28,90.16,154.32,64.16,10.76,3
84,40.93,36.07,8.95,102.14,177.29,75.15,5.26,2
85,35.27,18.94,8.56,59.98,86.59,26.6,21.46,3
86,36.3,25.55,10.22,124.26,195.06,70.8,5.72,3
87,83.18,52.92,11.68,109.19,170.59,61.4,7.32,4
88,124.71,55.62,15.55,116.08,193.68,77.6,8.94,4
89,173.38,88.2,17.33,184.35,309.73,125.38,18.66,4
90,162.66,89.74,8.9,93.92,132.52,38.6,28.51,4
91,123.15,66.66,7.97,78.55,106.24,27.69,34.43,4
92,97.2,42.59,11.1,98.74,140.4,41.66,23.69,4
93,82.27,34.07,11.59,210.81,428.18,217.38,6.54,5
94,152.5,40.51,15.09,555.4,1413.3,857.9,7.34,5
95,335.04,75.9,13.39,322.01,760.8,438.79,5.48,5
96,328.82,108.12,12.38,297.2,710.72,413.52,5.21,5
97,220.5,102.15,10.33,241.68,556.9,315.22,4.54,5
98,188.68,93.8,10.38,246.35,593.2,346.84,4.81,5
99,207.8,100.71,10.31,221.35,525.0,303.65,5.19,5
100,215.24,116.28,7.33,162.5,347.57,185.06,4.89,4
101,150.41,102.04,6.38,137.7,288.44,150.75,5.15,4
102,154.96,99.81,6.37,133.38,279.56,146.18,4.64,4
103,160.42,94.02,6.56,131.03,279.12,148.09,4.97,5
104,275.81,122.85,6.21,126.46,270.85,144.4,3.75,5
105,381.25,155.97,5.13,85.53,140.54,55.01,4.08,5
106,150.71,115.44,4.28,99.38,176.48,77.11,4.63,4
107,87.62,87.14,4.64,168.23,380.46,212.22,5.47,4
108,101.88,75.75,8.33,333.82,846.9,513.09,6.24,4
109,151.27,81.18,18.86,231.2,524.26,293.06,7.36,2
110,42.84,22.54,6.96,73.02,102.9,29.89,32.47,3
111,46.29,16.35,9.86,139.28,259.54,120.27,17.25,4
112,106.3,23.04,12.78,305.52,720.96,415.44,5.32,5
113,245.38,48.42,10.92,284.2,673.78,389.57,5.42,5
114,470.96,46.85,16.8,265.6,589.84,324.24,5.65,5
115,222.55,50.5,14.66,202.2,414.87,212.67,4.99,4
116,140.4,49.11,9.06,183.67,387.91,204.23,4.82,4
117,170.69,57.69,8.42,174.25,378.53,204.28,4.81,4
118,168.01,52.28,7.2,139.74,284.64,144.89,4.38,4
119,116.97,40.93,6.02,104.36,179.04,74.68,4.19,4
120,90.54,30.96,5.27,71.17,102.87,31.7,5.32,3
121,54.4,28.99,5.33,79.82,135.61,55.79,4.52,4
122,114.33,54.28,4.83,80.93,152.4,71.47,4.75,4
123,121.44,70.95,4.52,79.45,146.06,66.61,4.31,4
124,114.49,62.06,4.35,86.0,167.5,81.5,4.47,4
125,116.45,66.66,5.53,123.71,274.4,150.69,4.72,4
126,125.31,72.17,7.96,244.4,609.74,365.34,6.16,5
127,208.34,80.97,17.96,289.86,693.91,404.04,6.19,5
128,306.63,105.88,14.88,210.17,447.38,237.22,5.9,4
129,150.72,92.75,16.28,167.53,305.64,138.11,11.3,4
130,137.37,73.7,14.2,151.35,242.3,90.96,18.06,4
131,120.51,73.01,9.52,103.19,148.51,45.32,28.02,4
132,84.24,56.83,8.98,94.89,141.07,46.19,29.7,3
133,61.05,38.08,7.78,57.59,76.3,18.71,45.0,3
134,69.66,27.25,6.79,39.59,49.54,9.95,54.54,3
135,77.82,19.74,8.24,132.98,253.1,120.13,21.05,3
136,61.46,19.36,12.03,152.95,267.86,114.91,5.06,4
137,115.08,27.27,10.97,158.59,295.64,137.04,4.58,4
138,99.38,21.92,8.65,83.58,99.1,15.52,8.31,3
139,63.37,15.95,7.6,85.42,112.39,26.97,11.06,3
140,70.7,23.78,7.57,135.71,261.72,126.01,4.91,4
141,118.74,52.21,7.26,157.77,344.6,186.83,5.06,4
142,140.83,59.78,6.05,167.25,368.45,201.2,4.44,4
143,93.27,47.94,5.53,132.37,292.17,159.79,4.9,4
144,113.71,60.35,4.96,108.82,228.13,119.3,4.29,4
145,129.89,76.79,4.27,98.07,193.35,95.29,4.09,4
146,96.73,60.21,4.34,115.2,245.07,129.88,3.96,3
147,80.65,48.14,4.64,130.37,294.69,164.32,4.71,4
148,106.93,56.82,4.8,145.01,342.79,197.78,4.11,4
149,111.11,62.31,5.26,158.5,382.88,224.37,4.54,4
150,117.36,64.95,6.14,162.71,363.81,201.1,5.47,4
151,126.79,77.59,7.43,139.03,261.13,122.1,8.21,4
152,118.54,61.28,8.66,112.53,181.71,69.18,16.76,4
153,100.14,43.06,7.68,105.42,159.86,54.44,24.87,4
154,97.08,35.29,6.39,70.89,99.98,29.08,40.65,3
155,85.92,25.23,5.94,33.78,43.32,9.53,58.51,3
156,61.0,18.74,5.22,24.72,31.88,7.16,68.55,2
157,40.03,14.62,5.2,33.4,40.67,7.27,62.5,3
158,33.08,11.36,6.19,119.6,215.2,95.6,23.37,3
159,40.03,7.96,6.68,194.65,393.08,198.42,4.56,3
160,76.97,12.12,6.89,187.46,387.4,199.94,5.03,4
161,102.16,26.85,6.28,159.28,328.19,168.9,4.36,4
162,102.53,32.96,6.56,156.46,330.46,174.01,4.18,4
163,110.76,43.23,5.72,200.32,456.97,256.64,4.39,4
164,115.61,48.21,5.46,170.08,381.06,210.99,4.25,4
165,110.42,47.17,5.0,164.64,372.92,208.28,4.35,4
166,106.94,49.68,4.45,141.15,306.57,165.42,4.43,4
167,108.65,60.57,4.21,126.56,270.48,143.92,4.71,4
168,101.98,59.28,4.39,118.62,255.54,136.93,4.07,4
169,115.75,52.83,7.96,93.46,144.65,51.19,30.05,4
170,95.84,45.95,7.09,65.62,91.11,25.48,47.73,3
171,76.84,32.5,6.8,63.04,87.56,24.52,51.18,3
172,66.76,24.24,6.17,52.82,72.18,19.36,52.35,3
173,53.37,19.22,6.13,96.86,141.8,44.94,25.06,3
174,42.77,15.14,6.42,185.24,353.5,168.26,5.29,4
175,58.63,19.76,7.0,214.04,441.64,227.61,4.67,4
176,92.51,31.03,8.18,270.8,628.82,358.02,5.46,4
177,119.39,40.39,6.96,167.46,343.22,175.76,4.35,4
178,141.43,55.33,7.32,199.99,440.68,240.69,4.02,4
179,178.09,68.74,7.05,227.98,533.81,305.83,4.58,4
180,178.92,66.13,6.3,188.36,419.66,231.3,4.77,4
181,174.44,68.98,5.96,175.84,388.99,213.15,4.5,4
182,157.98,69.88,5.01,137.99,289.78,151.8,4.14,4
183,136.1,57.0,4.97,125.8,262.7,136.9,4.23,4
184,127.76,64.67,4.63,119.34,248.42,129.08,4.05,4
185,118.93,59.17,4.22,107.14,217.11,109.97,3.94,4
186,103.1,42.14,4.44,117.69,241.27,123.58,4.27,4
187,94.91,40.72,4.33,116.96,230.17,113.2,3.92,3
188,71.15,27.02,5.26,155.26,335.24,179.98,4.35,3
189,70.49,20.36,5.26,118.77,229.94,111.17,5.51,3
190,59.89,18.45,5.38,111.01,205.94,94.93,6.74,2
191,46.98,16.68,8.38,64.32,80.18,15.86,21.52,3
192,52.91,13.54,3.54,117.8,182.88,65.07,5.65,3
193,58.92,11.19,6.27,166.82,327.77,160.95,5.1,3
194,88.06,16.62,6.08,128.42,223.94,95.52,4.74,4
195,99.59,27.48,5.0,127.27,223.59,96.33,4.59,4
196,109.57,33.5,4.91,176.17,364.89,188.72,4.35,4
