,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
0,,,6.73,,
1,,,6.94,,
2,,,,1696.22,
3,,39.14,,,
4,,,,,3.18
5,,,,,3.06
6,,,6.2,,
7,,,,1022.34,
8,,16.52,,,
9,,,,566.27,
10,55.7,,,,
11,,,,,2.36
12,,,4.49,,
13,,,,338.77,
14,,18.84,,,
15,,,,246.86,
16,26.1,,,,
17,22.4,,,,
18,,11.19,,,
19,,,4.3,,
20,,,4.27,,
21,,13.48,,,
22,,16.35,,,
23,,,,,4.1
24,112.6,,,,
25,,,,,3.46
26,,,,,3.3
27,,,5.82,,
28,,,6.34,,
29,,,6.48,,
30,,,,1333.1,
31,,24.57,,,
32,104.1,,,,
33,,,,1007.34,
34,92.7,,,,
35,,,,,2.54
36,72.1,,,,
37,,20.36,,,
38,,,4.45,,
39,52.3,,,,
40,41.5,,,,
41,30.5,,,,
42,,18.15,,,
43,36.0,,,,
44,47.3,,,,
45,45.2,,,,
46,54.5,,,,
47,,,,694.98,
48,,,,693.3,
49,,,4.69,,
50,,,4.92,,
51,57.1,,,,
52,54.2,,,,
53,,21.09,,,
54,,24.29,,,
55,52.7,,,,
56,49.5,,,,
57,,,,619.47,
58,,,,,2.13
59,,,,,2.31
60,46.8,,,,
61,,,,488.65,
62,36.1,,,,
63,,,,,2.27
64,,,3.74,,
65,,,,503.05,
66,,,,,3.46
67,,,,577.46,
68,,,,,4.83
69,,,,,4.41
70,78.5,,,,
71,,,,,3.16
72,,,4.3,,
73,,,,,2.04
74,,12.91,,,
75,,,,581.48,
76,57.9,,,,
77,,14.98,,,
78,,,3.08,,
79,,,,,3.74
80,,,,382.03,
81,,,,453.55,
82,,,,423.28,
83,46.2,,,,
84,47.2,,,,
85,,15.01,,,
86,35.1,,,,
87,,,3.13,,
88,,18.07,,,
89,,,,1246.43,
90,,,,,8.67
91,,,,1126.6,
92,,25.77,,,
93,,23.16,,,
94,77.7,,,,
95,,,,2140.68,
96,,,,1968.05,
97,,18.23,,,
98,89.8,,,,
99,85.1,,,,
100,,12.94,,,
101,,,7.1,,
102,,,7.0,,
103,,16.41,,,
104,,,,,5.93
105,,,6.54,,
106,,,,1715.03,
107,29.6,,,,
108,,,,2178.02,
109,,,8.14,,
110,,2.18,,,
111,,,4.46,,
112,,,4.83,,
113,,,,,5.7
114,,,,,5.33
115,,,6.78,,
116,,,6.85,,
117,,,6.6,,
118,,,6.25,,
119,,,,,6.0
120,103.9,,,,
121,,,,2785.49,
122,,22.19,,,
123,,,,,5.48
124,,,,,5.93
125,,,,,5.93
126,,17.21,,,
127,58.0,,,,
128,,,4.5,,
129,102.6,,,,
130,102.8,,,,
131,,,,,9.98
132,,,,,12.25
133,,,4.17,,
134,41.2,,,,
135,,12.89,,,
136,,,,,5.05
137,,7.32,,,
138,,11.06,,,
139,,17.22,,,
140,,,4.6,,
141,,18.64,,,
142,73.2,,,,
143,,,,1611.0,
144,,,,1302.43,
145,,,2.97,,
146,,,2.63,,
147,,,2.51,,
148,40.9,,,,
149,,,,,6.09
150,,23.27,,,
151,,,,1142.42,
152,,,4.39,,
153,,,,1279.32,
154,,,,,12.48
155,,26.08,,,
156,,,4.62,,
157,,,,,6.57
158,51.9,,,,
159,63.8,,,,
160,87.5,,,,
161,,22.49,,,
162,,,4.51,,
163,118.8,,,,
164,,,4.18,,
165,,,,,5.56
166,103.9,,,,
167,,,3.27,,
168,,,,1468.4,
169,,,5.53,,
170,,,,,11.0
171,,,5.03,,
172,,,,,7.93
173,,,4.87,,
174,,,5.03,,
175,69.0,,,,
176,,,,,5.6
177,,21.49,,,
178,,,4.65,,
179,,,,1659.97,
180,,,,1347.06,
181,,21.22,,,
182,,,,,6.8
183,40.0,,,,
184,,18.11,,,
185,,,,,5.62
186,,,3.12,,
187,,,,,5.77
188,,,3.99,,
189,88.3,,,,
190,89.4,39.34,4.99,1529.59,8.32
191,82.4,32.85,4.04,1260.51,10.05
192,,,,,5.69
193,,29.43,,,
194,,29.87,,,
195,,29.86,,,
196,,,4.08,,
197,79.9,,,,
198,79.7,,,,
199,75.0,,,,
200,,,2.54,,
201,61.3,,,,
202,52.0,,,,
203,46.1,,,,
204,,,,,5.76
205,,,3.73,,
206,,,4.12,,
207,,,4.91,,
208,88.1,,,,
209,,,,1457.34,
210,,,,,9.86
211,,,,,11.45
212,,,,1230.41,
213,,28.69,,,
214,,,4.83,,
215,,,,,5.85
216,,,,2664.87,
217,,33.53,,,
218,,31.35,,,
219,,,,1983.44,
220,,26.12,,,
221,,31.28,,,
222,,,,1677.55,
223,84.3,,,,
224,,,3.9,,
225,85.0,,,,
226,80.1,26.91,3.41,1259.57,6.72
227,79.8,,,,
228,,29.92,,,
229,,,,,6.66
230,,,,,6.3
231,,,6.78,,
232,,,,,9.06
233,,,,1669.02,
234,,,,1611.99,
235,,,,1470.33,
236,,,4.55,,
237,,,,1273.53,
238,,,4.13,,
239,,,4.08,,
240,,1.11,,,
241,,,,1184.72,
242,,,,,9.06
243,,12.54,,,
244,,,,1025.0,
245,,,,941.16,
246,,,3.11,,
247,,8.23,,,
248,,,,907.87,
249,,4.16,,,
250,31.0,,,,
251,,,,1115.29,
252,,,,1005.41,
253,,,2.57,,
254,,5.15,,,
255,,,3.08,,
256,,,,1430.19,
257,,3.41,,,
258,26.5,,,,
259,,,3.28,,
260,,,,,9.02
261,,,,1241.68,
