,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
0,108.09,5.52,80.31,309.27,228.96,4
1,108.09,2.52,80.31,309.27,228.96,4
2,103.25,5.93,67.07,219.06,151.99,4
3,95.99,6.16,159.63,334.99,175.36,4
4,93.67,6.46,214.21,484.93,270.72,4
5,93.9,5.63,64.67,274.33,209.66,2
6,45.06,6.49,68.93,89.54,20.61,3
7,45.34,6.44,127.21,200.02,72.81,3
8,45.88,6.26,138.13,227.31,89.18,3
9,45.44,6.2,124.97,203.84,78.87,3
10,45.32,5.44,102.39,145.33,42.94,3
11,44.53,5.39,107.38,167.47,60.09,3
12,39.29,5.5,150.36,283.51,133.15,3
13,36.2,5.08,113.24,196.52,83.28,2
14,38.32,5.02,96.54,156.57,60.03,2
15,33.69,4.52,63.81,122.75,58.94,2
16,32.94,4.29,60.09,112.25,52.16,2
17,30.84,4.2,72.63,101.67,29.04,2
18,27.48,4.34,80.49,122.27,41.78,3
19,25.58,4.79,111.15,196.07,84.92,2
20,22.31,5.68,65.2,211.27,146.07,3
21,29.2,6.92,174.23,367.96,193.73,3
22,36.45,10.11,165.97,344.46,178.49,3
23,47.18,9.53,154.42,296.61,142.19,3
24,63.3,11.57,167.33,325.02,157.69,3
25,70.42,12.09,132.14,247.83,115.69,3
26,75.29,10.09,107.8,185.97,78.17,3
27,76.07,9.28,65.73,138.93,73.2,3
28,82.76,7.09,107.0,183.38,76.38,3
29,76.68,6.77,140.56,268.63,128.07,3
30,77.56,6.91,70.97,214.5,143.53,3
31,76.52,12.01,75.33,293.51,218.18,3
32,79.06,9.18,151.82,303.17,151.35,3
33,81.06,8.26,155.06,320.92,165.86,3
34,83.81,8.5,59.33,171.31,111.98,3
35,73.66,8.44,92.55,159.18,66.63,3
36,52.67,9.33,106.63,203.3,96.67,2
37,45.52,8.08,98.05,180.95,82.9,2
38,36.05,6.75,71.39,106.56,35.17,2
39,32.01,6.98,44.92,55.68,10.76,2
40,29.21,6.79,54.16,65.52,11.36,2
41,21.78,6.85,74.96,113.19,38.23,2
42,21.23,6.65,85.67,139.18,53.51,2
43,23.79,5.51,57.89,77.0,19.11,2
44,28.8,5.83,66.23,90.12,23.89,2
45,34.58,8.96,72.91,109.49,36.58,2
46,38.32,9.16,69.12,106.36,37.24,2
